GENE_CHROMOSOME	GENE_START	GENE_END	GENE_NAME
1	65419	71585	OR4F5
1	450703	451697	OR4F29
1	685679	686673	OR4F16
1	923928	944581	SAMD11
1	944203	959309	NOC2L
1	960584	965719	KLHL17
1	966482	975865	PLEKHN1
1	975204	982093	PERM1
1	998962	1000172	HES4
1	1001138	1014540	ISG15
1	1020120	1056118	AGRN
1	1070967	1074306	RNF223
1	1081818	1116361	C1orf159
1	1173884	1197935	TTLL10
1	1203508	1206592	TNFRSF18
1	1211340	1214153	TNFRSF4
1	1216908	1232067	SDF4
1	1232237	1235041	B3GALT6
1	1242446	1246722	C1QTNF12
1	1253909	1273885	UBE2J2
1	1280436	1292029	SCNN1D
1	1292390	1309609	ACAP3
1	1308597	1311677	PUSL1
1	1311585	1324691	INTS11
1	1324756	1328896	CPTP
1	1331280	1335314	TAS1R3
1	1335276	1349418	DVL1
1	1352689	1361777	MXRA8
1	1373730	1375495	AURKAIP1
1	1385711	1399335	CCNL2
1	1401909	1407293	MRPL20
1	1418420	1421769	ANKRD65
1	1426128	1427787	TMEM88B
1	1434861	1442882	VWA1
1	1449689	1470163	ATAD3C
1	1471765	1497848	ATAD3B
1	1512162	1534685	ATAD3A
1	1534778	1540624	TMEM240
1	1541673	1574863	SSU72
1	1598012	1600135	FNDC10
1	1615415	1630610	MIB2
1	1632163	1635263	MMP23B
1	1635227	1659012	CDK11B
1	1659529	1692795	SLC35E2B
1	1702379	1724357	CDK11A
1	1724838	1745999	SLC35E2A
1	1751232	1780457	NADK
1	1785285	1891117	GNB1
1	1915108	1917296	CALML6
1	1917590	1919279	TMEM52
1	1921951	2003837	CFAP74
1	2019329	2030758	GABRD
1	2050411	2185395	PRKCZ
1	2184461	2212720	FAAP20
1	2228319	2310213	SKI
1	2321253	2391707	MORN1
1	2391775	2405442	RER1
1	2403964	2413797	PEX10
1	2425980	2505532	PLCH2
1	2508537	2526611	PANK4
1	2528745	2530263	HES5
1	2555639	2565382	TNFRSF14
1	2586491	2591469	PRXL2B
1	2590639	2633016	MMEL1
1	2635976	2801717	TTC34
1	3021467	3022903	ACTRT2
1	3069168	3438621	PRDM16
1	3454665	3481113	ARHGEF16
